Debit,DATE,Description,Credit,Amount,,,,,
TD Bank,1/2/2020,Edo's Loan,Discover Student Loan,$370.00 ,,,,,
Citi Double Cash Back,1/4/2020,CVS/PHARMACY #01909 ELKRIDGE MD,Pharmacy,$32.57 ,,,,,
Citi Double Cash Back,1/5/2020,STEAMGAMES.COM 4259522 Bellevue WA,Electronics,$14.99 ,,,,,
Citi Double Cash Back,1/5/2020,WAWA 8109 00081091 READING PA,Volleyball,$42.66 ,,,,,
Dining Out,1/5/2020,Amarie paid me for WAWA,Venmo,$10.00 ,,,,,
AMEX Blue Cash,1/6/2020,ALDI,Groceries,$11.16 ,,,,,
Capital One Savor,1/6/2020,Pie Five Pizza Co,Delivery/ Carry-Out,$22.24 ,,,,,
Capital One Checking,1/6/2020,BGE,Apartment,$113.88 ,,,,,
Capital One Checking,1/6/2020,GREYSTAR-MDSHEC-,Apartment,"$1,534.89 ",,,,,
Capital One Checking,1/6/2020,Royal Farms,Gas,$25.19 ,,,,,
CACI,1/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,1/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,1/7/2020,PAYCHECK,Capital One Savings,$494.69 ,,,,,
CACI,1/7/2020,PAYCHECK,Capital One Savings,$744.04 ,,,,,
CACI,1/7/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,1/7/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,1/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,1/7/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,1/7/2020,PAYCHECK,401k,$280.01 ,,,,,
CACI,1/7/2020,PAYCHECK,401k - Syd,$307.51 ,,,,,
CACI Contr.,1/7/2020,PAYCHECK,401k,$140.01 ,,,,,
CACI Contr.,1/7/2020,PAYCHECK,401k - Syd,$153.76 ,,,,,
Amazon Store Card,1/7/2020,AMAZON MARKETPLACE,Gifts,$63.59 ,,,,,
Amazon Store Card,1/7/2020,AMAZON MARKETPLACE,Apartment Stuff,$4.39 ,,,,,
Capital One Checking,1/8/2020,Royal Farms,Gas,$50.71 ,,,,,
Capital One Checking,1/8/2020,Transfer,Paypal,$200.00 ,,,,,
Capital One Checking,1/8/2020,Transfer,Paypal,$309.00 ,,,,,
Paypal,1/8/2020,CHRVA Tournament entry fee,Volleyball,$200.00 ,,,,,
Paypal,1/8/2020,Wedding hair and makeup,Wedding,$309.00 ,,,,,
Gifts,1/8/2020,AMAZON MARKETPLACE,Amazon Store Card,$22.50 ,,,,,
